,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
187,2,BANTEN,8/3/2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
188,3,BANTEN,9/3/2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
189,4,BANTEN,10/3/2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
190,5,BANTEN,11/3/2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
191,6,BANTEN,12/3/2020,0,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
192,7,BANTEN,13-03-2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
193,8,BANTEN,14-03-2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
194,9,BANTEN,15-03-2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
195,10,BANTEN,16-03-2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
196,11,BANTEN,17-03-2020,0,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
197,12,BANTEN,18-03-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
198,13,BANTEN,19-03-2020,0,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
199,14,BANTEN,20-03-2020,0,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
200,15,BANTEN,21-03-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
201,16,BANTEN,22-03-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
202,17,BANTEN,23-03-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
203,18,BANTEN,24-03-2020,0,0,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
204,19,BANTEN,25-03-2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
205,20,BANTEN,26-03-2020,0,0,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
206,21,BANTEN,27-03-2020,25,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
207,22,BANTEN,28-03-2020,10,0,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
208,23,BANTEN,29-03-2020,2,2,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
209,24,BANTEN,30-03-2020,22,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
210,25,BANTEN,31-03-2020,14,8,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
211,26,BANTEN,1/4/2020,12,0,5,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
212,27,BANTEN,2/4/2020,6,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
213,28,BANTEN,3/4/2020,4,3,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
214,29,BANTEN,4/4/2020,3,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
215,30,BANTEN,5/4/2020,4,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
216,31,BANTEN,6/4/2020,9,1,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
217,32,BANTEN,7/4/2020,6,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
218,33,BANTEN,8/4/2020,19,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
219,34,BANTEN,9/4/2020,3,2,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
220,35,BANTEN,10/4/2020,21,1,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
221,36,BANTEN,11/4/2020,31,0,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
222,37,BANTEN,12/4/2020,2,0,1,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
